2024-03-05 09:33:24,187: INFO  – Color K2BT_Accent changed for options [color-variant=light, base-color=red] (#A83453->#A83453).
2024-03-05 09:33:24,189: INFO  – Color K2BT_Accent changed for options [color-variant=dark, base-color=violet] (#9d86ef->#9d86ef).
2024-03-05 09:33:24,190: INFO  – Color K2BT_Accent changed for options [color-variant=dark, base-color=violetflat] (#9d86ef->#9d86ef).
2024-03-05 09:33:24,191: INFO  – Color K2BT_Accent changed for options [color-variant=dark, base-color=green] (#35ADB4->#35ADB4).
2024-03-05 09:33:24,192: INFO  – Color K2BT_Accent changed for options [color-variant=dark, base-color=skyblue] (#5E94FF->#5E94FF).
2024-03-05 09:33:24,193: INFO  – Color K2BT_Accent changed for options [color-variant=dark, base-color=red] (#EF4874->#EF4874).
2024-03-05 09:33:24,193: INFO  – Color K2BT_AccentHover changed for options [color-variant=light, base-color=violet] (#6015afbb->#6015afbb).
2024-03-05 09:33:24,194: INFO  – Color K2BT_AccentHover changed for options [color-variant=light, base-color=violetflat] (#5a6ee0bb->#5a6ee0bb).
2024-03-05 09:33:24,195: INFO  – Color K2BT_AccentHover changed for options [color-variant=light, base-color=green] (#2A898Ebb->#2A898Ebb).
2024-03-05 09:33:24,196: INFO  – Color K2BT_AccentHover changed for options [color-variant=light, base-color=skyblue] (#426AB5bb->#426AB5bb).
2024-03-05 09:33:24,196: INFO  – Color K2BT_AccentHover changed for options [color-variant=light, base-color=red] (#A83453bb->#A83453bb).
2024-03-05 09:33:24,197: INFO  – Color K2BT_AccentHover changed for options [color-variant=dark, base-color=violet] (#9d86efbb->#9d86efbb).
2024-03-05 09:33:24,198: INFO  – Color K2BT_AccentHover changed for options [color-variant=dark, base-color=violetflat] (#9d86efbb->#9d86efbb).
2024-03-05 09:33:24,199: INFO  – Color K2BT_AccentHover changed for options [color-variant=dark, base-color=green] (#35ADB4bb->#35ADB4bb).
2024-03-05 09:33:24,200: INFO  – Color K2BT_AccentHover changed for options [color-variant=dark, base-color=skyblue] (#5E94FFbb->#5E94FFbb).
2024-03-05 09:33:24,200: INFO  – Color K2BT_AccentHover changed for options [color-variant=dark, base-color=red] (#EF4874bb->#EF4874bb).
2024-03-05 09:33:24,201: INFO  – Color K2BT_TextOverAccent changed (#fff->#fff).
2024-03-05 09:33:24,202: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=light, base-color=violet] (#d7e6fc->#d7e6fc).
2024-03-05 09:33:24,203: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=light, base-color=violetflat] (#eaecfa->#eaecfa).
2024-03-05 09:33:24,203: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=light, base-color=green] (#eaecfa->#eaecfa).
2024-03-05 09:33:24,204: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=light, base-color=skyblue] (#eaecfa->#eaecfa).
2024-03-05 09:33:24,205: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=light, base-color=red] (#eaecfa->#eaecfa).
2024-03-05 09:33:24,206: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=dark, base-color=violet] (#2b3940->#2b3940).
2024-03-05 09:33:24,207: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=dark, base-color=violetflat] (#2b3940->#2b3940).
2024-03-05 09:33:24,208: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=dark, base-color=green] (#2b3940->#2b3940).
2024-03-05 09:33:24,209: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=dark, base-color=skyblue] (#2b3940->#2b3940).
2024-03-05 09:33:24,209: INFO  – Color K2BT_SelectedItemBackground changed for options [color-variant=dark, base-color=red] (#2b3940->#2b3940).
2024-03-05 09:33:24,210: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=light, base-color=violet] (#6015af->#6015af).
2024-03-05 09:33:24,211: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=light, base-color=violetflat] (#5a6ee0->#5a6ee0).
2024-03-05 09:33:24,212: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=light, base-color=green] (#2A898E->#2A898E).
2024-03-05 09:33:24,212: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=light, base-color=skyblue] (#426AB5->#426AB5).
2024-03-05 09:33:24,213: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=light, base-color=red] (#A83453->#A83453).
2024-03-05 09:33:24,214: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=dark, base-color=violet] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,215: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=dark, base-color=violetflat] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,216: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=dark, base-color=green] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,216: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=dark, base-color=skyblue] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,217: INFO  – Color K2BT_MainButtonBorder changed for options [color-variant=dark, base-color=red] (#cbdee7->#cbdee7).
2024-03-05 09:33:24,218: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=light, base-color=violet] (#6015afbb->#6015afbb).
2024-03-05 09:33:24,219: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=light, base-color=violetflat] (#5a6ee0bb->#5a6ee0bb).
2024-03-05 09:33:24,219: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=light, base-color=green] (#2A898Ebb->#2A898Ebb).
2024-03-05 09:33:24,220: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=light, base-color=skyblue] (#426AB5bb->#426AB5bb).
2024-03-05 09:33:24,221: INFO  – Color K2BT_MainButtonBorderHover changed for options [color-variant=light, base-color=red] (#A83453bb->#A83453bb).
